ref,name,lat,long,local_ref,network,operator,shelter,bench,tactile_paving,wheelchair,departure_board,lit,bin,covered,passenger_information_display,pole,flag,kerb,traffic_sign,advertising,layer,street,crossing
503412690,Bartley Junior School,50.9191440,-1.5649030,,,,,,,,,,,,,,,,,,,Winsor Road,Southampton Road
503412697,Bartley Junior School,50.9191542,-1.5650023,,,,,,,,,,,,,,,,,,,Winsor Road,Southampton Road
503413397,School Lane Community Centre,50.9755611,-1.3982589,,,,,,,,,,,,,,,,,,,School Lane,
503413400,School Lane Communtiy Centre,50.9752134,-1.3988474,,,,,,,,,,,,,,,,,,,School Lane,Castle Lane
503413403,Castle Lane,50.9747754,-1.4028698,,,,,,,,,,,,,,,,,,,Templars Way,Raglan Close
503413406,Castle Lane,50.9747864,-1.4032542,,,,,,,,,,,,,,,,,,,Templars Way,Castle Lane
503413408,Knightwood Road,50.9760736,-1.4049535,,,,,,,,,,,,,,,,,,,Tristram Close,Templars Way
503413413,Knightwood Road,50.9757933,-1.4049791,,,,,,,,,,,,,,,,,,,Templars Way,Castle Lane
503413417,Pilgrims Close,50.9773512,-1.4054007,,,,,,,,,,,,,,,,,,,Knightwood Road,Acorn Grove
503413420,Pilgrims Close,50.9775196,-1.4050939,,,,,,,,,,,,,,,,,,,Knightwood Road,Pilgrims Close
503413422,Chidden Holt,50.9792183,-1.4027682,,,,,,,,,,,,,,,,,,,Knightwood Road,Chidden Holt
503413425,Chidden Holt,50.9797245,-1.4017379,,,,,,,,,,,,,,,,,,,Knightwood Road,Opp Chidden Holt
503413427,Stinchar Drive,50.9818854,-1.3969948,,,,,,,,,,,,,,,,,,,Wicklow Drive,
503413431,Stinchar Drive,50.9821940,-1.3958084,,,,,,,,,,,,,,,,,,,Wicklow Drive,Stinchar Drive
503413439,Lambourn Square,50.9829501,-1.3942173,,,,,,,,,,,,,,,,,,,Wicklow Drive,Lambourn Square
503413442,Alderwood Ave,50.9844744,-1.3968330,,,,,,,,,,,,,,,,,,,Shannon Way,Alderwood Avenue
503413445,Alderwood Ave,50.9846295,-1.3972584,,,,,,,,,,,,,,,,,,,Shannon Way,Alderwood Avenue
503413448,Katrine Crescent,50.9906642,-1.4026517,,,,,,,,,,,,,,,,,,,Knightwood Road,Katrine Crescent
503413450,Katrine Crescent,50.9907101,-1.4028363,,,,,,,,,,,,,,,,,,,Knightwood Road,Bellflower Way
503413453,Baddesley Road Traffic Lights,50.9997911,-1.3920741,,,,,,,,,,,,,,,,,,,Hursley Road,Baddesley Road
503413458,Hook Road,51.0034821,-1.3928525,,,,,,,,,,,,,,,,,,,B3043 Hursley Road,Hook Road
